bin1 bin2 count
435 3083 13 1.1295061582104784e-13
436 3083 26 1.2630404317408847e-33
437 3083 14 4.724210692382718e-15
438 3083 11 5.086229766307076e-11
440 3083 15 1.8378350711078343e-16
441 3083 13 1.1295061582104784e-13
442 3083 15 1.8378350711078343e-16
443 3083 14 4.724210692382718e-15
444 3083 28 5.207457025525266e-37
445 3083 10 9.456933759848595e-10
448 3676 10 9.456933759848595e-10
455 1635 12 2.499011608308997e-12
455 1638 11 5.086229766307076e-11
455 3272 11 5.086229766307076e-11
455 4255 10 9.456933759848595e-10
455 4519 11 5.086229766307076e-11
455 4527 11 5.086229766307076e-11
455 4844 11 5.086229766307076e-11
455 4847 12 2.499011608308997e-12
456 1344 10 9.456933759848595e-10
456 4844 12 2.499011608308997e-12
457 1343 10 9.456933759848595e-10
457 3233 11 5.086229766307076e-11
457 4257 12 2.499011608308997e-12
457 4520 10 9.456933759848595e-10
458 1622 10 9.456933759848595e-10
459 1942 11 5.086229766307076e-11
460 1343 10 9.456933759848595e-10
460 4256 10 9.456933759848595e-10
460 4521 11 5.086229766307076e-11
466 3083 11 5.086229766307076e-11
470 3083 12 2.499011608308997e-12
471 3083 10 9.456933759848595e-10
472 3083 10 9.456933759848595e-10
475 3083 10 9.456933759848595e-10
483 1887 17 2.276949513284109e-19
487 4019 26 1.2630404317408847e-33
493 2860 13 1.1295061582104784e-13
500 3083 12 2.499011608308997e-12
508 2717 31 3.269661026104818e-42
509 2717 12 2.499011608308997e-12
521 1121 22 4.467592626069736e-27
534 1666 33 9.305043187070425e-46
534 1667 16 6.679588877218486e-18
534 3379 11 5.086229766307076e-11
542 1291 41 1.6974226148863556e-60
562 2159 11 5.086229766307076e-11
564 2128 21 1.7261417027865884e-25
578 3839 12 2.499011608308997e-12
592 3083 10 9.456933759848595e-10
593 5146 19 2.2124811233675724e-22
594 2963 18 7.304956297338264e-21
622 920 13 1.1295061582104784e-13
623 920 10 9.456933759848595e-10
632 4848 12 2.499011608308997e-12
637 3769 10 9.456933759848595e-10
639 2326 32 5.61167291062183e-44
651 1269 24 2.5962124294894867e-30
657 4001 20 6.3436412040036335e-24
667 1478 22 4.467592626069736e-27
674 4013 23 1.102104415209943e-28
683 957 19 2.2124811233675724e-22
687 4639 12 2.499011608308997e-12
703 3910 25 5.850259254768592e-32
704 1282 13 1.1295061582104784e-13
705 2561 38 7.167716358473956e-55
706 1356 10 9.456933759848595e-10
707 1356 10 9.456933759848595e-10
707 3315 10 9.456933759848595e-10
709 1361 10 9.456933759848595e-10
710 2992 26 1.2630404317408847e-33
720 1203 16 6.679588877218486e-18
727 1360 13 1.1295061582104784e-13
727 1361 10 9.456933759848595e-10
728 1360 11 5.086229766307076e-11
728 2976 11 5.086229766307076e-11
728 2977 11 5.086229766307076e-11
729 1359 10 9.456933759848595e-10
730 1358 11 5.086229766307076e-11
730 1664 13 1.1295061582104784e-13
730 1820 12 2.499011608308997e-12
758 775 14 4.724210692382718e-15
758 1390 10 9.456933759848595e-10
758 3083 12 2.499011608308997e-12
758 3320 12 2.499011608308997e-12
758 4543 37 5.071215639571807e-53
765 3083 18 7.304956297338264e-21
766 3083 20 6.3436412040036335e-24
767 3083 11 5.086229766307076e-11
768 3083 18 7.304956297338264e-21
769 3083 16 6.679588877218486e-18
770 3083 21 1.7261417027865884e-25
771 3083 13 1.1295061582104784e-13
773 3083 14 4.724210692382718e-15
774 3083 19 2.2124811233675724e-22
775 3083 16 6.679588877218486e-18
775 4543 15 1.8378350711078343e-16
776 3083 20 6.3436412040036335e-24
777 3083 31 3.269661026104818e-42
778 3083 18 7.304956297338264e-21
779 3083 11 5.086229766307076e-11
780 3083 11 5.086229766307076e-11
781 3083 14 4.724210692382718e-15
782 3083 11 5.086229766307076e-11
783 3083 11 5.086229766307076e-11
785 3083 15 1.8378350711078343e-16
786 3083 10 9.456933759848595e-10
788 3083 11 5.086229766307076e-11
795 3083 11 5.086229766307076e-11
796 3083 10 9.456933759848595e-10
797 1389 22 4.467592626069736e-27
798 3083 16 6.679588877218486e-18
802 3083 13 1.1295061582104784e-13
803 3083 11 5.086229766307076e-11
805 3083 13 1.1295061582104784e-13
807 5099 23 1.102104415209943e-28
811 3083 10 9.456933759848595e-10
813 3083 14 4.724210692382718e-15
814 3083 13 1.1295061582104784e-13
816 3083 11 5.086229766307076e-11
819 3083 13 1.1295061582104784e-13
820 3083 15 1.8378350711078343e-16
823 1419 13 1.1295061582104784e-13
823 3083 12 2.499011608308997e-12
824 3083 13 1.1295061582104784e-13
831 3830 17 2.276949513284109e-19
833 3772 17 2.276949513284109e-19
837 2372 11 5.086229766307076e-11
841 3083 12 2.499011608308997e-12
861 3083 12 2.499011608308997e-12
908 1455 17 2.276949513284109e-19
911 3846 21 1.7261417027865884e-25
928 2027 21 1.7261417027865884e-25
931 4127 13 1.1295061582104784e-13
933 1714 11 5.086229766307076e-11
935 1345 11 5.086229766307076e-11
935 2474 12 2.499011608308997e-12
935 3271 10 9.456933759848595e-10
935 3309 10 9.456933759848595e-10
936 3270 10 9.456933759848595e-10
936 3271 10 9.456933759848595e-10
936 3282 10 9.456933759848595e-10
937 2783 10 9.456933759848595e-10
937 3270 11 5.086229766307076e-11
937 3274 11 5.086229766307076e-11
937 3310 10 9.456933759848595e-10
951 3280 10 9.456933759848595e-10
