cell_nm	passed_qc	group
1CDX3_171	1	early-S
1CDX3_172	1	late-S/G2
1CDX3_173	1	late-S/G2
1CDX3_174	1	late-S/G2
1CDX3_175	1	late-S/G2
1CDX3_176	1	late-S/G2
1CDX3_177	1	late-S/G2
1CDX3_178	0	NA
1CDX3_181	1	late-S/G2
1CDX3_182	1	late-S/G2
1CDX3_183	1	early-S
1CDX3_184	0	NA
1CDX3_185	1	early-S
1CDX3_186	1	late-S/G2
1CDX3_187	1	late-S/G2
1CDX3_188	1	late-S/G2
1CDX3_191	1	G1
1CDX3_192	1	early-S
1CDX3_193	1	late-S/G2
1CDX3_194	1	early-S
1CDX3_195	1	late-S/G2
1CDX3_196	1	late-S/G2
1CDX3_197	1	late-S/G2
1CDX3_198	0	NA
1CDX3_201	1	late-S/G2
1CDX3_202	1	early-S
1CDX3_203	1	early-S
1CDX3_204	1	early-S
1CDX3_205	1	early-S
1CDX3_206	0	NA
1CDX3_207	1	late-S/G2
1CDX3_208	0	NA
1CDX3_211	1	early-S
1CDX3_212	1	late-S/G2
1CDX3_213	1	late-S/G2
1CDX3_214	1	late-S/G2
1CDX3_215	1	early-S
1CDX3_216	1	late-S/G2
1CDX3_217	1	early-S
1CDX3_218	1	early-S
1CDX3_221	1	early-S
1CDX3_222	1	late-S/G2
1CDX3_223	1	G1
1CDX3_224	1	late-S/G2
1CDX3_225	0	NA
1CDX3_226	1	late-S/G2
1CDX3_227	1	pre-M
1CDX3_228	0	NA
1CDX3_231	0	NA
1CDX3_232	1	late-S/G2
1CDX3_233	1	late-S/G2
1CDX3_234	1	early-S
1CDX3_235	1	late-S/G2
1CDX3_236	1	late-S/G2
1CDX3_237	1	early-S
1CDX3_238	0	NA
1CDX3_241	0	NA
1CDX3_242	1	early-S
1CDX3_243	1	G1
1CDX3_244	1	early-S
1CDX3_245	1	early-S
1CDX3_246	1	late-S/G2
1CDX3_247	0	NA
1CDX3_248	1	late-S/G2
1CDX3_251	1	late-S/G2
1CDX3_252	1	late-S/G2
1CDX3_253	1	early-S
1CDX3_254	1	late-S/G2
1CDX3_255	1	early-S
1CDX3_256	1	early-S
1CDX3_257	1	late-S/G2
1CDX3_258	0	NA
1CDX3_261	0	NA
1CDX3_262	1	late-S/G2
1CDX3_263	1	late-S/G2
1CDX3_264	1	late-S/G2
1CDX3_265	1	early-S
1CDX3_266	1	late-S/G2
1CDX3_267	1	early-S
1CDX3_268	0	NA
1CDX3_271	1	early-S
1CDX3_272	1	late-S/G2
1CDX3_273	1	late-S/G2
1CDX3_274	1	G1
1CDX3_275	1	late-S/G2
1CDX3_276	1	early-S
1CDX3_277	1	late-S/G2
1CDX3_278	0	NA
1CDX3_281	0	NA
1CDX3_282	1	late-S/G2
1CDX3_283	1	early-S
1CDX3_284	1	late-S/G2
1CDX3_285	1	early-S
1CDX3_286	0	NA
1CDX3_287	1	late-S/G2
1CDX3_288	0	NA
1CDX3_291	0	NA
1CDX3_292	0	NA
1CDX3_293	1	late-S/G2
1CDX3_294	1	early-S
1CDX3_295	1	early-S
1CDX3_296	1	late-S/G2
1CDX3_297	1	late-S/G2
1CDX3_298	0	NA
1CDX3_301	1	late-S/G2
1CDX3_302	1	late-S/G2
1CDX3_303	1	early-S
1CDX3_304	1	late-S/G2
1CDX3_305	1	early-S
1CDX3_306	1	early-S
1CDX3_307	1	early-S
1CDX3_308	0	NA
1CDX3_311	1	late-S/G2
1CDX3_312	1	late-S/G2
1CDX3_313	1	early-S
1CDX3_314	1	early-S
1CDX3_315	1	early-S
1CDX3_316	1	late-S/G2
1CDX3_317	1	late-S/G2
1CDX3_318	0	NA
1CDX3_321	0	NA
1CDX3_322	1	late-S/G2
1CDX3_323	1	early-S
1CDX3_324	1	late-S/G2
1CDX3_325	0	NA
1CDX3_326	1	early-S
1CDX3_327	1	late-S/G2
1CDX3_328	0	NA
1CDX3_331	0	NA
1CDX3_332	1	late-S/G2
1CDX3_333	1	late-S/G2
1CDX3_334	1	late-S/G2
1CDX3_335	1	early-S
1CDX3_336	0	NA
1CDX3_337	1	early-S
1CDX3_338	0	NA
1CDX3_341	0	NA
