cell_nm	passed_qc	group
1CDS2_647	1	early-S
1CDS2_648	1	late-S/G2
1CDS2_651	0	NA
1CDS2_652	1	late-S/G2
1CDS2_653	1	late-S/G2
1CDS2_654	1	early-S
1CDS2_655	1	late-S/G2
1CDS2_656	1	early-S
1CDS2_657	1	late-S/G2
1CDS2_658	0	NA
1CDS2_661	1	G1
1CDS2_662	1	late-S/G2
1CDS2_663	1	G1
1CDS2_664	1	late-S/G2
1CDS2_665	1	early-S
1CDS2_666	1	early-S
1CDS2_667	1	late-S/G2
1CDS2_668	0	NA
1CDS2_671	0	NA
1CDS2_672	1	late-S/G2
1CDS2_673	1	late-S/G2
1CDS2_674	1	late-S/G2
1CDS2_675	0	NA
1CDS2_676	1	G1
1CDS2_677	1	late-S/G2
1CDS2_678	0	NA
1CDS2_681	1	late-S/G2
1CDS2_682	1	late-S/G2
1CDS2_683	1	early-S
1CDS2_684	1	late-S/G2
1CDS2_685	1	early-S
1CDS2_686	1	late-S/G2
1CDS2_687	1	late-S/G2
1CDS2_688	1	early-S
1CDS2_691	1	late-S/G2
1CDS2_692	1	late-S/G2
1CDS2_693	1	G1
1CDS2_694	1	post-M
1CDS2_695	0	NA
1CDS2_696	1	G1
1CDS2_697	1	late-S/G2
1CDS2_698	0	NA
1CDS2_701	0	NA
1CDS2_702	1	late-S/G2
1CDS2_703	1	late-S/G2
1CDS2_704	1	late-S/G2
1CDS2_705	1	pre-M
1CDS2_706	1	early-S
1CDS2_707	1	late-S/G2
1CDS2_708	0	NA
1CDS2_711	1	early-S
1CDS2_712	1	G1
1CDS2_713	1	early-S
1CDS2_714	1	G1
1CDS2_715	1	late-S/G2
1CDS2_716	1	G1
1CDS2_717	1	early-S
1CDS2_718	0	NA
1CDS2_721	1	early-S
1CDS2_722	1	late-S/G2
1CDS2_723	1	early-S
1CDS2_724	0	NA
1CDS2_725	0	NA
1CDS2_726	1	early-S
1CDS2_727	1	early-S
1CDS2_728	0	NA
1CDS2_731	0	NA
1CDS2_732	1	late-S/G2
1CDS2_733	0	NA
1CDS2_734	1	late-S/G2
1CDS2_735	1	early-S
1CDS2_736	0	NA
1CDS2_737	0	NA
1CDS2_738	0	NA
