bin1 bin2 count
1417 3083 12 1.70073082152859e-09
1418 3083 14 1.0369300709661378e-11
1420 3083 16 4.733305106767513e-14
1422 3083 16 4.733305106767513e-14
1425 3083 12 1.70073082152859e-09
1427 3083 14 1.0369300709661378e-11
1429 4879 14 1.0369300709661378e-11
1431 3083 14 1.0369300709661378e-11
1433 3083 13 1.3803128234085672e-10
1433 4044 16 4.733305106767513e-14
1437 3083 12 1.70073082152859e-09
1440 3083 12 1.70073082152859e-09
1454 3083 12 1.70073082152859e-09
1455 3083 14 1.0369300709661378e-11
1456 3083 19 9.112285032649403e-18
1457 3083 116 2.581614531305237e-197
1460 3083 12 1.70073082152859e-09
1465 2007 25 8.197716641121687e-26
1474 5118 17 2.900233180844394e-15
1478 2439 13 1.3803128234085672e-10
1489 2494 15 7.247169998738484e-13
1502 4723 29 1.475018755126236e-31
1541 3048 65 1.609689689467032e-92
1550 3845 16 4.733305106767513e-14
1550 4270 22 1.0719681946871952e-21
1567 3527 15 7.247169998738484e-13
1572 2731 35 1.1849651032016336e-40
1572 2732 22 1.0719681946871952e-21
1577 4274 26 3.188905832629607e-27
1621 3222 15 7.247169998738484e-13
1622 2140 16 4.733305106767513e-14
1634 3275 13 1.3803128234085672e-10
1646 4184 13 1.3803128234085672e-10
1652 3874 15 7.247169998738484e-13
1652 3875 26 3.188905832629607e-27
1652 4510 49 1.0699259164839581e-63
1663 1705 17 2.900233180844394e-15
1668 1914 12 1.70073082152859e-09
1683 5093 13 1.3803128234085672e-10
1685 2838 21 2.3011720839783498e-20
1685 3294 12 1.70073082152859e-09
1685 4541 88 1.2884005332812104e-137
1690 2448 22 1.0719681946871952e-21
1703 3083 31 1.5742512382460883e-34
1703 4270 13 1.3803128234085672e-10
1703 4541 156 0.0
1703 4658 14 1.0369300709661378e-11
1704 2708 13 1.3803128234085672e-10
1704 3083 46 1.4355387442934309e-58
1704 4270 19 9.112285032649403e-18
1705 3083 32 4.8764269847877145e-36
1706 3083 31 1.5742512382460883e-34
1707 3083 25 8.197716641121687e-26
1708 3083 38 2.166075064274391e-45
1709 3083 28 4.2719251206625985e-30
1709 3677 14 1.0369300709661378e-11
1710 3083 25 8.197716641121687e-26
1711 3083 14 1.0369300709661378e-11
1711 4578 18 1.6729175447252525e-16
1712 2647 12 1.70073082152859e-09
1712 3083 21 2.3011720839783498e-20
1713 3083 24 2.0196230733104994e-24
1714 3083 21 2.3011720839783498e-20
1714 4301 13 1.3803128234085672e-10
1715 3083 16 4.733305106767513e-14
1716 3083 27 1.1905697123076071e-28
1717 3083 23 4.760836778075919e-23
1718 3083 15 7.247169998738484e-13
1719 3083 18 1.6729175447252525e-16
1720 2414 19 9.112285032649403e-18
1721 3083 22 1.0719681946871952e-21
1722 3083 20 4.699929251219321e-19
1723 3083 13 1.3803128234085672e-10
1724 3083 19 9.112285032649403e-18
1725 3083 12 1.70073082152859e-09
1726 3083 14 1.0369300709661378e-11
1727 3083 12 1.70073082152859e-09
1729 3083 13 1.3803128234085672e-10
1731 3083 20 4.699929251219321e-19
1732 2373 28 4.2719251206625985e-30
1732 3083 23 4.760836778075919e-23
1733 3083 21 2.3011720839783498e-20
1733 4757 17 2.900233180844394e-15
1734 3083 19 9.112285032649403e-18
1738 3083 15 7.247169998738484e-13
1739 3083 15 7.247169998738484e-13
1741 3083 22 1.0719681946871952e-21
1743 3083 15 7.247169998738484e-13
1744 3083 17 2.900233180844394e-15
1745 3083 13 1.3803128234085672e-10
1746 3083 20 4.699929251219321e-19
1747 3083 13 1.3803128234085672e-10
1748 3083 14 1.0369300709661378e-11
1749 2364 19 9.112285032649403e-18
1750 2364 29 1.475018755126236e-31
1752 3083 14 1.0369300709661378e-11
1753 3083 12 1.70073082152859e-09
1754 3083 21 2.3011720839783498e-20
1756 3083 13 1.3803128234085672e-10
1758 3083 18 1.6729175447252525e-16
1764 3083 12 1.70073082152859e-09
1765 3083 13 1.3803128234085672e-10
1766 3083 13 1.3803128234085672e-10
1767 3083 20 4.699929251219321e-19
1771 3376 56 5.13159412922428e-76
1772 3083 13 1.3803128234085672e-10
1797 4569 15 7.247169998738484e-13
1804 4950 15 7.247169998738484e-13
1810 3661 28 4.2719251206625985e-30
1811 4328 19 9.112285032649403e-18
1813 2258 22 1.0719681946871952e-21
1830 3169 14 1.0369300709661378e-11
1830 3170 40 1.2957898632920952e-48
1831 4833 32 4.8764269847877145e-36
1832 4833 29 1.475018755126236e-31
1837 4888 14 1.0369300709661378e-11
1837 4889 50 1.9916779568835255e-65
1837 4890 15 7.247169998738484e-13
1841 2832 14 1.0369300709661378e-11
1849 4361 38 2.166075064274391e-45
1850 4361 17 2.900233180844394e-15
1850 5164 12 1.70073082152859e-09
1851 2641 17 2.900233180844394e-15
1858 2812 12 1.70073082152859e-09
1868 2325 12 1.70073082152859e-09
1880 2206 23 4.760836778075919e-23
1880 4892 16 4.733305106767513e-14
1910 5036 28 4.2719251206625985e-30
1914 4372 23 4.760836778075919e-23
1921 3290 16 4.733305106767513e-14
1926 3705 16 4.733305106767513e-14
1927 5136 15 7.247169998738484e-13
1963 2379 33 1.459791266399764e-37
1964 3677 12 1.70073082152859e-09
1966 4817 12 1.70073082152859e-09
1978 3731 14 1.0369300709661378e-11
1978 3881 15 7.247169998738484e-13
1991 2990 38 2.166075064274391e-45
2003 3083 74 1.0713307969686882e-109
2003 4255 27 1.1905697123076071e-28
2004 3083 52 6.435742544053225e-69
2005 3083 50 1.9916779568835255e-65
2006 3083 37 8.47624716322859e-44
2006 4255 12 1.70073082152859e-09
2007 3083 27 1.1905697123076071e-28
2008 3083 13 1.3803128234085672e-10
2009 3083 33 1.459791266399764e-37
2010 3083 42 6.925061163270553e-52
2011 2814 26 3.188905832629607e-27
2011 3083 18 1.6729175447252525e-16
2011 5289 13 1.3803128234085672e-10
2011 5290 12 1.70073082152859e-09
2022 3083 16 4.733305106767513e-14
2023 3083 12 1.70073082152859e-09
2024 3083 19 9.112285032649403e-18
2030 3083 17 2.900233180844394e-15
2031 3083 24 2.0196230733104994e-24
2031 3876 16 4.733305106767513e-14
2032 3083 20 4.699929251219321e-19
2034 3083 12 1.70073082152859e-09
2036 3083 12 1.70073082152859e-09
2037 3083 19 9.112285032649403e-18
2038 3083 12 1.70073082152859e-09
2046 2392 26 3.188905832629607e-27
2048 3083 16 4.733305106767513e-14
2050 3083 14 1.0369300709661378e-11
2054 3083 17 2.900233180844394e-15
2055 2628 14 1.0369300709661378e-11
2055 3083 15 7.247169998738484e-13
2059 3083 12 1.70073082152859e-09
2061 3480 15 7.247169998738484e-13
2067 3083 12 1.70073082152859e-09
2069 3083 12 1.70073082152859e-09
2163 4021 19 9.112285032649403e-18
2172 5288 15 7.247169998738484e-13
2184 3952 27 1.1905697123076071e-28
2184 4073 20 4.699929251219321e-19
